"age";"job";"marital";"education";"default";"housing";"loan";"contact";"month";"day_of_week";"duration";"campaign";"pdays";"previous";"poutcome";"emp.var.rate";"cons.price.idx";"cons.conf.idx";"euribor3m";"nr.employed";"y"
32;"blue-collar";"married";"basic.9y";"no";"yes";"no";"cellular";"may";"thu";83;2;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
30;"blue-collar";"single";"basic.9y";"no";"no";"no";"cellular";"may";"thu";151;2;999;1;"failure";-1.8;92.893;-46.2;1.266;5099.1;"no"
25;"services";"single";"high.school";"no";"no";"no";"cellular";"may";"thu";566;1;999;1;"failure";-1.8;92.893;-46.2;1.266;5099.1;"no"
29;"technician";"single";"basic.9y";"no";"no";"no";"cellular";"may";"thu";141;1;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
50;"self-employed";"married";"basic.9y";"unknown";"no";"no";"cellular";"may";"thu";291;1;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
50;"self-employed";"married";"basic.9y";"unknown";"no";"no";"cellular";"may";"thu";287;1;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
30;"technician";"married";"basic.9y";"no";"no";"no";"cellular";"may";"thu";64;2;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
27;"admin.";"married";"high.school";"no";"no";"no";"cellular";"may";"thu";244;1;999;1;"failure";-1.8;92.893;-46.2;1.266;5099.1;"no"
26;"management";"single";"university.degree";"no";"yes";"no";"cellular";"may";"thu";667;1;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"yes"
26;"admin.";"single";"high.school";"unknown";"no";"no";"cellular";"may";"thu";136;3;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
26;"management";"single";"university.degree";"no";"no";"no";"cellular";"may";"thu";715;1;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"yes"
40;"admin.";"divorced";"high.school";"no";"yes";"no";"cellular";"may";"thu";123;1;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
33;"blue-collar";"married";"basic.9y";"no";"yes";"no";"telephone";"may";"thu";16;5;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
44;"admin.";"married";"basic.9y";"unknown";"yes";"yes";"cellular";"may";"thu";414;1;999;1;"failure";-1.8;92.893;-46.2;1.266;5099.1;"no"
33;"services";"single";"high.school";"no";"yes";"no";"cellular";"may";"thu";201;1;999;1;"failure";-1.8;92.893;-46.2;1.266;5099.1;"no"
31;"admin.";"single";"high.school";"no";"yes";"no";"cellular";"may";"thu";212;1;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
48;"management";"divorced";"university.degree";"unknown";"no";"no";"cellular";"may";"thu";86;2;999;1;"failure";-1.8;92.893;-46.2;1.266;5099.1;"no"
40;"blue-collar";"married";"basic.9y";"no";"yes";"no";"cellular";"may";"thu";317;1;999;1;"failure";-1.8;92.893;-46.2;1.266;5099.1;"no"
31;"admin.";"divorced";"high.school";"no";"no";"no";"cellular";"may";"thu";145;1;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
38;"services";"married";"high.school";"no";"yes";"no";"cellular";"may";"thu";532;1;999;1;"failure";-1.8;92.893;-46.2;1.266;5099.1;"no"
29;"technician";"single";"professional.course";"no";"no";"no";"cellular";"may";"thu";248;1;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
54;"blue-collar";"married";"basic.9y";"no";"no";"yes";"cellular";"may";"thu";158;1;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
42;"blue-collar";"married";"basic.9y";"no";"no";"yes";"cellular";"may";"thu";141;1;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
42;"blue-collar";"married";"basic.9y";"no";"no";"no";"cellular";"may";"thu";190;1;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
32;"self-employed";"single";"professional.course";"unknown";"yes";"no";"cellular";"may";"thu";161;3;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
22;"blue-collar";"married";"basic.9y";"no";"yes";"no";"cellular";"may";"thu";23;1;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
42;"blue-collar";"married";"basic.9y";"no";"no";"no";"telephone";"may";"thu";276;1;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
29;"technician";"single";"professional.course";"no";"no";"no";"telephone";"may";"thu";7;7;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
27;"admin.";"married";"high.school";"no";"yes";"yes";"cellular";"may";"thu";201;1;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
29;"technician";"single";"basic.9y";"no";"no";"no";"cellular";"may";"thu";20;1;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
24;"blue-collar";"single";"basic.9y";"no";"no";"yes";"cellular";"may";"thu";51;1;999;1;"failure";-1.8;92.893;-46.2;1.266;5099.1;"no"
40;"blue-collar";"divorced";"basic.9y";"unknown";"no";"no";"cellular";"may";"thu";467;6;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
27;"services";"single";"high.school";"no";"no";"yes";"cellular";"may";"thu";603;1;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
27;"blue-collar";"single";"basic.6y";"unknown";"yes";"no";"cellular";"may";"thu";9;1;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
27;"blue-collar";"married";"basic.9y";"no";"no";"no";"cellular";"may";"thu";283;1;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
22;"blue-collar";"single";"basic.9y";"no";"yes";"no";"cellular";"may";"thu";283;2;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
30;"technician";"married";"professional.course";"no";"yes";"no";"cellular";"may";"thu";341;1;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
27;"admin.";"married";"professional.course";"no";"yes";"no";"cellular";"may";"thu";102;1;999;1;"failure";-1.8;92.893;-46.2;1.266;5099.1;"no"
27;"admin.";"married";"professional.course";"no";"yes";"no";"cellular";"may";"thu";267;1;999;1;"failure";-1.8;92.893;-46.2;1.266;5099.1;"no"
55;"services";"single";"basic.9y";"no";"unknown";"unknown";"cellular";"may";"thu";717;1;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"yes"
27;"admin.";"married";"professional.course";"no";"yes";"no";"cellular";"may";"thu";143;1;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
39;"services";"married";"high.school";"no";"yes";"no";"cellular";"may";"thu";22;8;999;1;"failure";-1.8;92.893;-46.2;1.266;5099.1;"no"
24;"technician";"married";"professional.course";"no";"yes";"yes";"cellular";"may";"thu";428;3;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
34;"blue-collar";"single";"basic.9y";"no";"no";"no";"cellular";"may";"thu";484;3;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
32;"self-employed";"single";"professional.course";"unknown";"no";"no";"cellular";"may";"thu";561;3;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"yes"
32;"management";"single";"university.degree";"no";"yes";"no";"cellular";"may";"thu";149;3;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
27;"admin.";"married";"professional.course";"no";"yes";"no";"cellular";"may";"thu";338;1;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
29;"blue-collar";"married";"basic.9y";"unknown";"yes";"no";"cellular";"may";"thu";182;6;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
32;"blue-collar";"married";"basic.4y";"unknown";"yes";"no";"cellular";"may";"thu";94;1;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
27;"self-employed";"single";"university.degree";"no";"yes";"yes";"cellular";"may";"thu";73;1;999;1;"failure";-1.8;92.893;-46.2;1.266;5099.1;"no"
27;"admin.";"married";"professional.course";"no";"no";"no";"cellular";"may";"thu";584;1;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
32;"blue-collar";"married";"professional.course";"no";"yes";"no";"cellular";"may";"thu";260;1;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
27;"self-employed";"single";"university.degree";"no";"no";"no";"cellular";"may";"thu";185;1;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
27;"self-employed";"single";"university.degree";"no";"no";"no";"cellular";"may";"thu";223;1;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
39;"admin.";"married";"high.school";"no";"no";"no";"cellular";"may";"thu";76;1;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
35;"technician";"married";"professional.course";"no";"yes";"no";"cellular";"may";"thu";590;5;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"yes"
48;"blue-collar";"married";"basic.9y";"no";"no";"no";"cellular";"may";"thu";214;1;999;1;"failure";-1.8;92.893;-46.2;1.266;5099.1;"no"
32;"entrepreneur";"divorced";"high.school";"no";"yes";"no";"cellular";"may";"thu";103;2;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
39;"blue-collar";"married";"basic.9y";"unknown";"no";"no";"cellular";"may";"thu";37;6;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
30;"blue-collar";"single";"basic.9y";"no";"yes";"yes";"cellular";"may";"thu";273;3;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
31;"blue-collar";"single";"high.school";"no";"no";"no";"cellular";"may";"thu";451;1;999;1;"failure";-1.8;92.893;-46.2;1.266;5099.1;"no"
35;"entrepreneur";"married";"professional.course";"no";"yes";"no";"telephone";"may";"thu";12;5;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
35;"technician";"single";"unknown";"no";"no";"no";"cellular";"may";"thu";745;1;999;1;"failure";-1.8;92.893;-46.2;1.266;5099.1;"yes"
29;"services";"single";"high.school";"no";"no";"no";"cellular";"may";"thu";854;2;999;1;"failure";-1.8;92.893;-46.2;1.266;5099.1;"yes"
27;"admin.";"married";"professional.course";"no";"yes";"no";"cellular";"may";"thu";1166;1;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
39;"admin.";"married";"high.school";"no";"no";"yes";"cellular";"may";"thu";105;1;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
47;"entrepreneur";"divorced";"high.school";"no";"no";"no";"cellular";"may";"thu";8;7;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
23;"admin.";"married";"high.school";"no";"no";"yes";"cellular";"may";"thu";7;5;999;1;"failure";-1.8;92.893;-46.2;1.266;5099.1;"no"
26;"self-employed";"married";"high.school";"no";"no";"no";"cellular";"may";"thu";159;5;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
25;"services";"single";"high.school";"no";"no";"no";"cellular";"may";"thu";646;5;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"yes"
24;"admin.";"single";"professional.course";"no";"no";"no";"cellular";"may";"thu";210;6;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
35;"admin.";"married";"university.degree";"no";"no";"yes";"cellular";"may";"thu";17;7;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
29;"blue-collar";"married";"basic.9y";"unknown";"yes";"no";"cellular";"may";"thu";297;2;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
39;"management";"single";"high.school";"no";"no";"yes";"cellular";"may";"thu";365;6;999;1;"failure";-1.8;92.893;-46.2;1.266;5099.1;"no"
30;"blue-collar";"married";"basic.4y";"unknown";"yes";"no";"telephone";"may";"thu";162;2;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
33;"admin.";"single";"university.degree";"no";"yes";"yes";"cellular";"may";"thu";255;2;999;1;"failure";-1.8;92.893;-46.2;1.266;5099.1;"no"
41;"technician";"married";"professional.course";"no";"yes";"no";"cellular";"may";"thu";377;4;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
37;"housemaid";"single";"high.school";"no";"yes";"no";"cellular";"may";"thu";165;1;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
29;"admin.";"married";"university.degree";"no";"yes";"no";"cellular";"may";"thu";133;1;999;1;"failure";-1.8;92.893;-46.2;1.266;5099.1;"no"
37;"blue-collar";"married";"basic.4y";"no";"no";"no";"cellular";"may";"thu";345;1;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"yes"
31;"blue-collar";"married";"basic.6y";"unknown";"no";"no";"cellular";"may";"thu";263;1;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
32;"management";"married";"professional.course";"no";"no";"no";"cellular";"may";"thu";125;1;999;1;"failure";-1.8;92.893;-46.2;1.266;5099.1;"no"
39;"technician";"single";"basic.4y";"unknown";"yes";"no";"cellular";"may";"thu";411;2;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
49;"services";"married";"high.school";"no";"no";"no";"cellular";"may";"thu";67;1;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
36;"blue-collar";"single";"basic.4y";"no";"yes";"no";"cellular";"may";"thu";279;1;999;1;"failure";-1.8;92.893;-46.2;1.266;5099.1;"no"
38;"services";"single";"high.school";"no";"yes";"yes";"cellular";"may";"thu";456;1;999;1;"failure";-1.8;92.893;-46.2;1.266;5099.1;"yes"
25;"services";"married";"high.school";"no";"no";"no";"cellular";"may";"thu";112;2;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
31;"blue-collar";"married";"basic.6y";"unknown";"no";"no";"cellular";"may";"thu";680;1;6;1;"success";-1.8;92.893;-46.2;1.266;5099.1;"yes"
49;"services";"married";"high.school";"no";"yes";"no";"cellular";"may";"thu";152;1;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
32;"services";"married";"high.school";"no";"yes";"no";"cellular";"may";"thu";21;12;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
52;"blue-collar";"unknown";"basic.4y";"no";"no";"no";"cellular";"may";"thu";1180;1;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"yes"
32;"technician";"single";"university.degree";"no";"no";"no";"cellular";"may";"thu";14;8;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
26;"services";"single";"high.school";"no";"no";"no";"cellular";"may";"thu";243;1;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
33;"blue-collar";"single";"high.school";"no";"yes";"no";"cellular";"may";"thu";17;5;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
25;"student";"single";"high.school";"no";"no";"no";"cellular";"may";"thu";12;7;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
26;"blue-collar";"single";"basic.9y";"no";"yes";"no";"cellular";"may";"thu";535;1;999;1;"failure";-1.8;92.893;-46.2;1.266;5099.1;"no"
44;"services";"married";"high.school";"no";"no";"no";"telephone";"may";"thu";188;1;999;1;"failure";-1.8;92.893;-46.2;1.266;5099.1;"no"
52;"technician";"married";"basic.6y";"unknown";"no";"no";"cellular";"may";"thu";498;1;12;1;"success";-1.8;92.893;-46.2;1.266;5099.1;"no"
32;"admin.";"single";"high.school";"no";"yes";"no";"cellular";"may";"thu";149;1;999;1;"failure";-1.8;92.893;-46.2;1.266;5099.1;"no"
32;"technician";"single";"university.degree";"no";"yes";"no";"telephone";"may";"thu";62;7;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
52;"admin.";"married";"university.degree";"unknown";"no";"no";"cellular";"may";"thu";877;2;999;1;"failure";-1.8;92.893;-46.2;1.266;5099.1;"no"
31;"entrepreneur";"single";"university.degree";"no";"yes";"yes";"cellular";"may";"thu";204;1;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
34;"entrepreneur";"married";"basic.6y";"no";"yes";"no";"cellular";"may";"thu";210;2;999;1;"failure";-1.8;92.893;-46.2;1.266;5099.1;"no"
30;"student";"unknown";"basic.9y";"no";"no";"no";"cellular";"may";"thu";155;1;999;2;"failure";-1.8;92.893;-46.2;1.266;5099.1;"no"
32;"blue-collar";"married";"university.degree";"no";"no";"yes";"cellular";"may";"thu";159;1;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
33;"management";"married";"professional.course";"no";"no";"no";"cellular";"may";"thu";578;1;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"yes"
54;"blue-collar";"married";"basic.4y";"unknown";"yes";"yes";"cellular";"may";"thu";303;1;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
23;"admin.";"single";"high.school";"no";"yes";"no";"cellular";"may";"thu";258;1;10;1;"success";-1.8;92.893;-46.2;1.266;5099.1;"no"
44;"services";"married";"high.school";"no";"no";"yes";"cellular";"may";"thu";786;1;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"yes"
29;"services";"married";"high.school";"unknown";"yes";"no";"cellular";"may";"thu";161;1;999;1;"failure";-1.8;92.893;-46.2;1.266;5099.1;"no"
31;"entrepreneur";"single";"university.degree";"no";"yes";"no";"cellular";"may";"thu";633;1;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"yes"
32;"admin.";"married";"university.degree";"no";"no";"no";"cellular";"may";"thu";57;4;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
46;"services";"married";"high.school";"no";"no";"no";"cellular";"may";"thu";107;4;999;1;"failure";-1.8;92.893;-46.2;1.266;5099.1;"no"
28;"blue-collar";"divorced";"high.school";"no";"no";"no";"cellular";"may";"thu";307;1;999;2;"failure";-1.8;92.893;-46.2;1.266;5099.1;"yes"
23;"self-employed";"single";"basic.9y";"no";"yes";"no";"cellular";"may";"thu";64;2;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
41;"services";"married";"high.school";"no";"no";"no";"cellular";"may";"thu";116;4;999;1;"failure";-1.8;92.893;-46.2;1.266;5099.1;"no"
32;"entrepreneur";"divorced";"high.school";"no";"yes";"no";"cellular";"may";"thu";318;3;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
22;"student";"single";"high.school";"no";"yes";"no";"cellular";"may";"thu";47;3;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
26;"self-employed";"married";"high.school";"no";"no";"no";"cellular";"may";"thu";183;3;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
29;"services";"married";"high.school";"no";"yes";"no";"cellular";"may";"thu";343;2;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
27;"admin.";"single";"basic.9y";"no";"yes";"no";"telephone";"may";"thu";230;4;999;1;"failure";-1.8;92.893;-46.2;1.266;5099.1;"no"
29;"technician";"single";"university.degree";"no";"no";"no";"cellular";"may";"thu";138;2;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
29;"blue-collar";"married";"basic.9y";"unknown";"yes";"yes";"cellular";"may";"thu";11;5;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
27;"blue-collar";"married";"basic.9y";"no";"no";"no";"cellular";"may";"thu";155;2;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
24;"services";"single";"high.school";"no";"no";"no";"cellular";"may";"thu";47;1;999;1;"failure";-1.8;92.893;-46.2;1.266;5099.1;"no"
47;"services";"married";"basic.6y";"no";"yes";"no";"cellular";"may";"thu";201;2;999;1;"failure";-1.8;92.893;-46.2;1.266;5099.1;"no"
27;"technician";"married";"professional.course";"no";"yes";"yes";"telephone";"may";"thu";289;3;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
52;"entrepreneur";"single";"university.degree";"no";"yes";"no";"cellular";"may";"thu";11;5;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
38;"blue-collar";"married";"basic.6y";"unknown";"no";"no";"cellular";"may";"thu";72;2;999;1;"failure";-1.8;92.893;-46.2;1.266;5099.1;"no"
36;"blue-collar";"married";"basic.6y";"no";"yes";"yes";"cellular";"may";"thu";273;1;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
24;"services";"single";"high.school";"no";"no";"yes";"cellular";"may";"thu";91;1;999;1;"failure";-1.8;92.893;-46.2;1.266;5099.1;"no"
29;"services";"married";"high.school";"unknown";"yes";"no";"cellular";"may";"thu";23;1;999;1;"failure";-1.8;92.893;-46.2;1.266;5099.1;"no"
45;"blue-collar";"married";"basic.9y";"no";"no";"no";"cellular";"may";"thu";43;1;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
36;"admin.";"single";"university.degree";"no";"no";"no";"telephone";"may";"thu";121;1;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
33;"blue-collar";"married";"basic.9y";"unknown";"yes";"no";"cellular";"may";"thu";449;1;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"yes"
45;"blue-collar";"married";"basic.4y";"no";"yes";"yes";"cellular";"may";"thu";8;5;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
24;"services";"single";"high.school";"no";"no";"no";"cellular";"may";"thu";524;1;999;1;"failure";-1.8;92.893;-46.2;1.266;5099.1;"no"
25;"student";"single";"university.degree";"no";"no";"no";"telephone";"may";"thu";13;5;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
53;"services";"married";"basic.6y";"no";"yes";"no";"cellular";"may";"thu";157;4;999;1;"failure";-1.8;92.893;-46.2;1.266;5099.1;"no"
42;"services";"divorced";"high.school";"no";"no";"no";"cellular";"may";"thu";72;1;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
35;"blue-collar";"married";"basic.6y";"no";"no";"no";"cellular";"may";"thu";112;1;999;1;"failure";-1.8;92.893;-46.2;1.266;5099.1;"no"
31;"entrepreneur";"single";"university.degree";"no";"no";"no";"cellular";"may";"thu";50;2;999;1;"failure";-1.8;92.893;-46.2;1.266;5099.1;"no"
35;"blue-collar";"married";"basic.6y";"no";"yes";"no";"cellular";"may";"thu";225;1;12;1;"success";-1.8;92.893;-46.2;1.266;5099.1;"no"
31;"blue-collar";"single";"basic.9y";"no";"yes";"no";"cellular";"may";"thu";42;1;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
38;"blue-collar";"married";"basic.6y";"no";"no";"no";"cellular";"may";"thu";35;1;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
39;"blue-collar";"married";"basic.9y";"no";"yes";"no";"cellular";"may";"thu";607;3;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"yes"
37;"management";"married";"university.degree";"no";"no";"yes";"cellular";"may";"thu";123;1;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
31;"blue-collar";"married";"basic.9y";"no";"no";"no";"cellular";"may";"thu";255;1;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
24;"self-employed";"single";"university.degree";"no";"no";"no";"cellular";"may";"thu";334;2;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
40;"blue-collar";"married";"basic.4y";"no";"no";"no";"cellular";"may";"thu";104;1;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
33;"blue-collar";"single";"basic.9y";"unknown";"no";"no";"cellular";"may";"thu";1075;1;999;1;"failure";-1.8;92.893;-46.2;1.266;5099.1;"yes"
36;"admin.";"single";"high.school";"no";"yes";"no";"cellular";"may";"thu";235;1;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
27;"technician";"single";"high.school";"no";"no";"no";"cellular";"may";"thu";64;3;999;1;"failure";-1.8;92.893;-46.2;1.266;5099.1;"no"
27;"admin.";"married";"high.school";"no";"no";"no";"cellular";"may";"thu";137;3;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
42;"services";"divorced";"high.school";"no";"yes";"yes";"cellular";"may";"thu";874;1;999;1;"failure";-1.8;92.893;-46.2;1.266;5099.1;"yes"
23;"student";"single";"university.degree";"no";"yes";"no";"cellular";"may";"thu";200;1;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
40;"blue-collar";"married";"basic.4y";"no";"yes";"no";"cellular";"may";"thu";433;1;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
27;"technician";"single";"high.school";"no";"no";"no";"cellular";"may";"thu";215;1;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
30;"admin.";"single";"university.degree";"no";"yes";"no";"cellular";"may";"thu";287;1;999;1;"failure";-1.8;92.893;-46.2;1.266;5099.1;"no"
47;"blue-collar";"married";"basic.4y";"unknown";"no";"no";"telephone";"may";"thu";391;1;999;1;"failure";-1.8;92.893;-46.2;1.266;5099.1;"no"
39;"blue-collar";"single";"basic.4y";"no";"no";"no";"cellular";"may";"thu";93;1;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
44;"blue-collar";"married";"basic.6y";"no";"yes";"no";"cellular";"may";"thu";16;9;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
36;"blue-collar";"married";"basic.9y";"no";"yes";"no";"cellular";"may";"thu";523;2;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
28;"blue-collar";"single";"basic.9y";"no";"yes";"no";"cellular";"may";"thu";225;1;999;1;"failure";-1.8;92.893;-46.2;1.266;5099.1;"no"
21;"student";"single";"high.school";"no";"no";"no";"cellular";"may";"thu";24;1;999;1;"failure";-1.8;92.893;-46.2;1.266;5099.1;"no"
31;"blue-collar";"married";"basic.6y";"no";"yes";"yes";"cellular";"may";"thu";298;1;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
25;"management";"married";"university.degree";"no";"yes";"no";"cellular";"may";"thu";200;1;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
32;"services";"single";"university.degree";"no";"unknown";"unknown";"telephone";"may";"thu";93;1;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
30;"admin.";"married";"university.degree";"no";"no";"yes";"cellular";"may";"thu";234;2;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
24;"admin.";"single";"high.school";"no";"no";"no";"cellular";"may";"thu";797;2;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
29;"blue-collar";"married";"basic.9y";"no";"yes";"yes";"cellular";"may";"thu";419;1;999;1;"failure";-1.8;92.893;-46.2;1.266;5099.1;"no"
46;"blue-collar";"married";"basic.4y";"no";"no";"no";"cellular";"may";"thu";87;1;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
30;"admin.";"married";"basic.6y";"no";"yes";"no";"cellular";"may";"thu";83;1;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
33;"admin.";"single";"high.school";"no";"yes";"no";"cellular";"may";"thu";30;1;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
